Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Bracket Stage,Expert,Bracket A,P9: Final,Best of 3,Set Fire 🔥,lefty flip,lefty flip,0,1,0,1,,,Eli Canon,Garret Chaffins,,Austin Smith,Will Blass,
Bracket Stage,Expert,Bracket A,P17: Final,Best of 3,Pull Day,"Blind Date ",Pull Day,21,15,21,17,,,Lane Morris,Justin Goldman,,Levi Campbell,Jake Kelley,
Bracket Stage,Expert,Bracket A,P19: Final,Best of 3,Green Turkey and Ham(ilton),Memory Lanes,Memory Lanes,0,1,0,1,,,McKenna McKean,Savannah Obert,,Cole Solomon,Joseph Motto,
Pool Play,Contender,Group A,1,Single game,👐👐👐,Oozma Kappa,👐👐👐,21,2,,,,,Trent Minton,michael sweeney,,Derek Lynch,Jacob Denhof,
Pool Play,Contender,Group A,1,Single game,Get That Corn Outta My Face!,Nick Chao,Get That Corn Outta My Face!,21,19,,,,,David Richt,Jon Richt,,Nicholas Chao,Darrell Trejo,
Pool Play,Contender,Group B,1,Single game,The J is for Jam,Cloud Merchants,The J is for Jam,21,5,,,,,Jack Larson,Joshua Hevelow,,Cameron Curles,Bentley Huff,Reese Berry
Pool Play,Contender,Group B,1,Single game,Unsolicited Spikes,New Gen + Old Gen,Unsolicited Spikes,21,14,,,,,Camden Ernst,Tucker Howard,,Lia Rodriguez,Nicko Tomala,
Pool Play,Contender,Group C,1,Single game,Clueless,Hit List,Clueless,21,12,,,,,Noah Hite,Jack Whittemore,,Lindsay Parkes,Kaleigh Wilson,
Pool Play,Contender,Group C,1,Single game,Gold Blooded,Good spikebrations,Gold Blooded,21,7,,,,,Keegan Luisi-Robinson,Collin Ireland,,Addyson Cobb,Jenna Collins,
Pool Play,Contender,Group D,1,Single game,Bird Men,Jelly,Bird Men,21,3,,,,,Blake Peacock,Ben Herring,,Jeremiah Delaney,Elizabeth Bennett,
Pool Play,Contender,Group D,1,Single game,Apple Jacks,The Spuds,Apple Jacks,21,3,,,,,Landon Shell,Zach Locker,,Jason Goldblatt,Sean Toland,
Pool Play,Contender,Group A,2,Single game,👐👐👐,Nick Chao,👐👐👐,21,11,,,,,Trent Minton,michael sweeney,,Nicholas Chao,Darrell Trejo,
